"","SceneImage","Object","Basic","Superordinate","Supersuperordinate","a","A","b","B","c","C","d","D","e","E","f","F","g","G","h","H","i","I","j","J","k","K","l","L","m","M","n","N","o","O","p","P","q","Q","r","R","s","S","t","T","u","U","v","V","w","W","x","X"
"117","urbanstreet12.jpg","Telephone Booth","Urban Street","Human","Outdoors","Teddy Bear","super.Inconsistent.No.50","Telephone Booth","consistent.Consistent.No.50","Telephone Booth","consistent.Consistent.No.50","Motorcycle","basic.Inconsistent.Yes.100","Textbook","super.Inconsistent.Yes.100","Telephone Booth","consistent.Consistent.Yes.100","Telephone Booth","consistent.Consistent.Yes.100","Camping Tent","basic.Inconsistent.No.100","Apron","super.Inconsistent.No.100","Telephone Booth","consistent.Consistent.No.100","Telephone Booth","consistent.Consistent.No.100","Utility Pole","basic.Inconsistent.Yes.150","Floor Lamp","super.Inconsistent.Yes.150","Telephone Booth","consistent.Consistent.Yes.150","Telephone Booth","consistent.Consistent.Yes.150","Fishing Boat","basic.Inconsistent.No.150","Floor Lamp","super.Inconsistent.No.150","Telephone Booth","consistent.Consistent.No.150","Telephone Booth","consistent.Consistent.No.150","Surfboard","basic.Inconsistent.Yes.50","Teddy Bear","super.Inconsistent.Yes.50","Telephone Booth","consistent.Consistent.Yes.50","Telephone Booth","consistent.Consistent.Yes.50","Bird Nest","basic.Inconsistent.No.50"
"75","kitchen17.jpg","Baking Tray","Kitchen","Private","Indoors","Historic Plaque","super.Inconsistent.No.50","Baking Tray","consistent.Consistent.No.50","Baking Tray","consistent.Consistent.No.50","Calculator","basic.Inconsistent.Yes.100","Crosswalk Signal","super.Inconsistent.Yes.100","Baking Tray","consistent.Consistent.Yes.100","Baking Tray","consistent.Consistent.Yes.100","Projector","basic.Inconsistent.No.100","Hay Bale","super.Inconsistent.No.100","Baking Tray","consistent.Consistent.No.100","Baking Tray","consistent.Consistent.No.100","Razor","basic.Inconsistent.Yes.150","Crosswalk","super.Inconsistent.Yes.150","Baking Tray","consistent.Consistent.Yes.150","Baking Tray","consistent.Consistent.Yes.150","Phone Set","basic.Inconsistent.No.150","Toadstool Mushroom","super.Inconsistent.No.150","Baking Tray","consistent.Consistent.No.150","Baking Tray","consistent.Consistent.No.150","Seesaw","super.Inconsistent.Yes.50","Utility Pole","super.Inconsistent.Yes.50","Baking Tray","consistent.Consistent.Yes.50","Baking Tray","consistent.Consistent.Yes.50","Backpack","basic.Inconsistent.No.50"
"59","flowers.jpg","Picture Frame","Living Room","Private","Indoors","Speed Limit Sign","super.Inconsistent.No.50","Picture Frame","consistent.Consistent.No.50","Picture Frame","consistent.Consistent.No.50","Projector","basic.Inconsistent.Yes.100","Radio Tower","super.Inconsistent.Yes.100","Picture Frame","consistent.Consistent.Yes.100","Picture Frame","consistent.Consistent.Yes.100","Crayons","basic.Inconsistent.No.100","Subway Station Sign","super.Inconsistent.No.100","Picture Frame","consistent.Consistent.No.100","Picture Frame","consistent.Consistent.No.100","Surfboard","super.Inconsistent.Yes.150","Swing Set","super.Inconsistent.Yes.150","Picture Frame","consistent.Consistent.Yes.150","Picture Frame","consistent.Consistent.Yes.150","Nightstand","basic.Inconsistent.No.150","Road Work Sign","super.Inconsistent.No.150","Picture Frame","consistent.Consistent.No.150","Picture Frame","consistent.Consistent.No.150","Razor","basic.Inconsistent.Yes.50","Toadstool Mushroom","super.Inconsistent.Yes.50","Picture Frame","consistent.Consistent.Yes.50","Picture Frame","consistent.Consistent.Yes.50","Crosswalk Signal","super.Inconsistent.No.50"
"92","office4.jpg","Tape Dispenser","Office","Public","Indoors","Fishing Boat","super.Inconsistent.No.50","Tape Dispenser","consistent.Consistent.No.50","Tape Dispenser","consistent.Consistent.No.50","Pencil Case","basic.Inconsistent.Yes.100","Road Work Sign","super.Inconsistent.Yes.100","Tape Dispenser","consistent.Consistent.Yes.100","Tape Dispenser","consistent.Consistent.Yes.100","Textbook","basic.Inconsistent.No.100","Traffic Light","super.Inconsistent.No.100","Tape Dispenser","consistent.Consistent.No.100","Tape Dispenser","consistent.Consistent.No.100","Knife","basic.Inconsistent.Yes.150","Fire Hydrant","super.Inconsistent.Yes.150","Tape Dispenser","consistent.Consistent.Yes.150","Tape Dispenser","consistent.Consistent.Yes.150","Bench","super.Inconsistent.No.150","Fishing Boat","super.Inconsistent.No.150","Tape Dispenser","consistent.Consistent.No.150","Tape Dispenser","consistent.Consistent.No.150","Nightstand","basic.Inconsistent.Yes.50","Tractor","super.Inconsistent.Yes.50","Tape Dispenser","consistent.Consistent.Yes.50","Tape Dispenser","consistent.Consistent.Yes.50","Phone Set","basic.Inconsistent.No.50"
"19","citycenter10.jpg","Souvenir Stand","City Center","Human","Outdoors","Spoon","super.Inconsistent.No.50","Souvenir Stand","consistent.Consistent.No.50","Souvenir Stand","consistent.Consistent.No.50","Rock","basic.Inconsistent.Yes.100","Utility Pole","basic.Inconsistent.Yes.100","Souvenir Stand","consistent.Consistent.Yes.100","Souvenir Stand","consistent.Consistent.Yes.100","Motorcycle","basic.Inconsistent.No.100","Candle","super.Inconsistent.No.100","Souvenir Stand","consistent.Consistent.No.100","Souvenir Stand","consistent.Consistent.No.100","Stop Sign","basic.Inconsistent.Yes.150","Broom","super.Inconsistent.Yes.150","Souvenir Stand","consistent.Consistent.Yes.150","Souvenir Stand","consistent.Consistent.Yes.150","Yield Sign","basic.Inconsistent.No.150","Soap Bar","super.Inconsistent.No.150","Souvenir Stand","consistent.Consistent.No.150","Souvenir Stand","consistent.Consistent.No.150","Fishing Boat","basic.Inconsistent.Yes.50","Printer","super.Inconsistent.Yes.50","Souvenir Stand","consistent.Consistent.Yes.50","Souvenir Stand","consistent.Consistent.Yes.50","Buoy","basic.Inconsistent.No.50"
"58","fire_hydrant.jpg","Flag Pole","City Center","Human","Outdoors","Flag Pole","consistent.Consistent.No.50","Flag Pole","consistent.Consistent.No.50","Birdhouse","basic.Inconsistent.Yes.100","Vacuum Cleaner","super.Inconsistent.Yes.100","Flag Pole","consistent.Consistent.Yes.100","Flag Pole","consistent.Consistent.Yes.100","Bird Nest","basic.Inconsistent.No.100","Backpack","super.Inconsistent.No.100","Flag Pole","consistent.Consistent.No.100","Flag Pole","consistent.Consistent.No.100","Parking Meter","basic.Inconsistent.Yes.150","Bathroom Sign","super.Inconsistent.Yes.150","Flag Pole","consistent.Consistent.Yes.150","Flag Pole","consistent.Consistent.Yes.150","Lighthouse","basic.Inconsistent.No.150","Rocking Chair","super.Inconsistent.No.150","Flag Pole","consistent.Consistent.No.150","Flag Pole","consistent.Consistent.No.150","Lawn Mower","basic.Inconsistent.Yes.50","Vacuum Cleaner","super.Inconsistent.Yes.50","Flag Pole","consistent.Consistent.Yes.50","Flag Pole","consistent.Consistent.Yes.50","Windmill","basic.Inconsistent.No.50","Nightstand","super.Inconsistent.No.50"
"21","citycenter12.jpg","Historic Plaque","City Center","Human","Outdoors","Historic Plaque","consistent.Consistent.No.50","Historic Plaque","consistent.Consistent.No.50","Stapler","super.Inconsistent.Yes.100","Pencil Holder","super.Inconsistent.Yes.100","Historic Plaque","consistent.Consistent.Yes.100","Historic Plaque","consistent.Consistent.Yes.100","Feeding Trough","basic.Inconsistent.No.100","Alarm Clock","super.Inconsistent.No.100","Historic Plaque","consistent.Consistent.No.100","Historic Plaque","consistent.Consistent.No.100","Kayak","basic.Inconsistent.Yes.150","Paper Shredder","super.Inconsistent.Yes.150","Historic Plaque","consistent.Consistent.Yes.150","Historic Plaque","consistent.Consistent.Yes.150","Motorcycle","basic.Inconsistent.No.150","Bathroom Sign","super.Inconsistent.No.150","Historic Plaque","consistent.Consistent.No.150","Historic Plaque","consistent.Consistent.No.150","Lily Pad","basic.Inconsistent.Yes.50","Exit Sign","super.Inconsistent.Yes.50","Historic Plaque","consistent.Consistent.Yes.50","Historic Plaque","consistent.Consistent.Yes.50","Camping Tent","basic.Inconsistent.No.50","Plate","super.Inconsistent.No.50"
"51","elephant.jpg","Napkin","Dining Room","Private","Indoors","Napkin","consistent.Consistent.No.50","Napkin","consistent.Consistent.No.50","Ottoman","basic.Inconsistent.Yes.100","Sculpture","super.Inconsistent.Yes.100","Napkin","consistent.Consistent.Yes.100","Napkin","consistent.Consistent.Yes.100","Ottoman","basic.Inconsistent.No.100","Yield Sign","super.Inconsistent.No.100","Napkin","consistent.Consistent.No.100","Napkin","consistent.Consistent.No.100","Phone Set","basic.Inconsistent.Yes.150","Wheelbarrow","super.Inconsistent.Yes.150","Napkin","consistent.Consistent.Yes.150","Napkin","consistent.Consistent.Yes.150","Toothpaste","basic.Inconsistent.No.150","Wheelbarrow","super.Inconsistent.No.150","Napkin","consistent.Consistent.No.150","Napkin","consistent.Consistent.No.150","Toothpaste","basic.Inconsistent.Yes.50","Camping Tent","super.Inconsistent.Yes.50","Napkin","consistent.Consistent.Yes.50","Napkin","consistent.Consistent.Yes.50","Phone Set","basic.Inconsistent.No.50","Motorcycle","super.Inconsistent.No.50"
"22","citycenter2.jpg","Taxi","City Center","Human","Outdoors","Taxi","consistent.Consistent.No.50","Taxi","consistent.Consistent.No.50","Lily Pad","basic.Inconsistent.Yes.100","Blender","super.Inconsistent.Yes.100","Taxi","consistent.Consistent.Yes.100","Taxi","consistent.Consistent.Yes.100","Billboard","basic.Inconsistent.No.100","Knife","super.Inconsistent.No.100","Taxi","consistent.Consistent.No.100","Taxi","consistent.Consistent.No.100","Vase","super.Inconsistent.Yes.150","Vacuum Cleaner","super.Inconsistent.Yes.150","Taxi","consistent.Consistent.Yes.150","Taxi","consistent.Consistent.Yes.150","Pencil Holder","super.Inconsistent.No.150","Fishing Rod","basic.Inconsistent.No.150","Taxi","consistent.Consistent.No.150","Taxi","consistent.Consistent.No.150","Parking Meter","basic.Inconsistent.Yes.50","Utility Pole","basic.Inconsistent.Yes.50","Taxi","consistent.Consistent.Yes.50","Taxi","consistent.Consistent.Yes.50","Fork","super.Inconsistent.No.50","Projector","super.Inconsistent.No.50"
"32","coast11.jpg","Lifeguard Tower","Coast","Natural","Outdoors","Lifeguard Tower","consistent.Consistent.No.50","Lifeguard Tower","consistent.Consistent.No.50","Projector Screen","super.Inconsistent.Yes.100","Yield Sign","basic.Inconsistent.Yes.100","Lifeguard Tower","consistent.Consistent.Yes.100","Lifeguard Tower","consistent.Consistent.Yes.100","Camping Tent","basic.Inconsistent.No.100","Sculpture","basic.Inconsistent.No.100","Lifeguard Tower","consistent.Consistent.No.100","Lifeguard Tower","consistent.Consistent.No.100","Wheelbarrow","basic.Inconsistent.Yes.150","Toaster","super.Inconsistent.Yes.150","Lifeguard Tower","consistent.Consistent.Yes.150","Lifeguard Tower","consistent.Consistent.Yes.150","Parking Meter","basic.Inconsistent.No.150","Blender","super.Inconsistent.No.150","Lifeguard Tower","consistent.Consistent.No.150","Lifeguard Tower","consistent.Consistent.No.150","Camping Tent","basic.Inconsistent.Yes.50","Lawn Mower","basic.Inconsistent.Yes.50","Lifeguard Tower","consistent.Consistent.Yes.50","Lifeguard Tower","consistent.Consistent.Yes.50","Bird Nest","basic.Inconsistent.No.50","Coffee Maker","super.Inconsistent.No.50"
"121","wood_kitchen.png","Broom","Kitchen","Private","Indoors","Broom","consistent.Consistent.No.50","Projector Screen","basic.Inconsistent.Yes.100","Feeding Trough","super.Inconsistent.Yes.100","Broom","consistent.Consistent.Yes.100","Broom","consistent.Consistent.Yes.100","Projector Screen","basic.Inconsistent.No.100","Lily Pad","super.Inconsistent.No.100","Broom","consistent.Consistent.No.100","Broom","consistent.Consistent.No.100","Bowl","basic.Inconsistent.Yes.150","Windmill","super.Inconsistent.Yes.150","Broom","consistent.Consistent.Yes.150","Broom","consistent.Consistent.Yes.150","Napkin","basic.Inconsistent.No.150","Fork","basic.Inconsistent.No.150","Broom","consistent.Consistent.No.150","Broom","consistent.Consistent.No.150","Toothpaste","basic.Inconsistent.Yes.50","Kayak","super.Inconsistent.Yes.50","Broom","consistent.Consistent.Yes.50","Broom","consistent.Consistent.Yes.50","Stapler","basic.Inconsistent.No.50","Lily Pad","super.Inconsistent.No.50","Broom","consistent.Consistent.No.50"
"4","bathroom4.jpg","Razor","Bathroom","Private","Indoors","Razor","consistent.Consistent.No.50","Vase","basic.Inconsistent.Yes.100","Lighthouse","super.Inconsistent.Yes.100","Razor","consistent.Consistent.Yes.100","Razor","consistent.Consistent.Yes.100","Bowl","basic.Inconsistent.No.100","Pan","basic.Inconsistent.No.100","Razor","consistent.Consistent.No.100","Razor","consistent.Consistent.No.100","Picture Frame","basic.Inconsistent.Yes.150","Axe","super.Inconsistent.Yes.150","Razor","consistent.Consistent.Yes.150","Razor","consistent.Consistent.Yes.150","Teddy Bear","basic.Inconsistent.No.150","Armchair Recliner","basic.Inconsistent.No.150","Razor","consistent.Consistent.No.150","Razor","consistent.Consistent.No.150","Rolling Pin","basic.Inconsistent.Yes.50","Soccer Ball","super.Inconsistent.Yes.50","Razor","consistent.Consistent.Yes.50","Razor","consistent.Consistent.Yes.50","Projector Screen","basic.Inconsistent.No.50","Feeding Trough","super.Inconsistent.No.50","Razor","consistent.Consistent.No.50"
"103","play2.jpg","Swing Set","Playground","Human","Outdoors","Swing Set","consistent.Consistent.No.50","Tractor","basic.Inconsistent.Yes.100","Notebook","super.Inconsistent.Yes.100","Swing Set","consistent.Consistent.Yes.100","Swing Set","consistent.Consistent.Yes.100","Souvenir Stand","basic.Inconsistent.No.100","Television","super.Inconsistent.No.100","Swing Set","consistent.Consistent.No.100","Swing Set","consistent.Consistent.No.100","Kayak","basic.Inconsistent.Yes.150","Pan","super.Inconsistent.Yes.150","Swing Set","consistent.Consistent.Yes.150","Swing Set","consistent.Consistent.Yes.150","Fence","basic.Inconsistent.No.150","Blender","super.Inconsistent.No.150","Swing Set","consistent.Consistent.No.150","Swing Set","consistent.Consistent.No.150","Tractor","basic.Inconsistent.Yes.50","Baking Tray","super.Inconsistent.Yes.50","Swing Set","consistent.Consistent.Yes.50","Swing Set","consistent.Consistent.Yes.50","Lifeguard Tower","basic.Inconsistent.No.50","Comforter Blanket","super.Inconsistent.No.50","Swing Set","consistent.Consistent.No.50"
"74","kitchen15.jpg","Apron","Kitchen","Private","Indoors","Apron","consistent.Consistent.No.50","Shower Head","basic.Inconsistent.Yes.100","Bird Nest","super.Inconsistent.Yes.100","Apron","consistent.Consistent.Yes.100","Apron","consistent.Consistent.Yes.100","Laundry Hamper","basic.Inconsistent.No.100","Lighthouse","super.Inconsistent.No.100","Apron","consistent.Consistent.No.100","Apron","consistent.Consistent.No.100","Vase","basic.Inconsistent.Yes.150","Billboard","super.Inconsistent.Yes.150","Apron","consistent.Consistent.Yes.150","Apron","consistent.Consistent.Yes.150","Briefcase","basic.Inconsistent.No.150","Wild Berries","super.Inconsistent.No.150","Apron","consistent.Consistent.No.150","Apron","consistent.Consistent.No.150","Television","basic.Inconsistent.Yes.50","Wild Berries","super.Inconsistent.Yes.50","Apron","consistent.Consistent.Yes.50","Apron","consistent.Consistent.Yes.50","Tape Dispenser","basic.Inconsistent.No.50","Soccer Ball","super.Inconsistent.No.50","Apron","consistent.Consistent.No.50"
"44","corridor4.jpg","Exit Sign","Corridor","Public","Indoors","Exit Sign","consistent.Consistent.No.50","Toothpaste","basic.Inconsistent.Yes.100","Motorcycle","super.Inconsistent.Yes.100","Exit Sign","consistent.Consistent.Yes.100","Exit Sign","consistent.Consistent.Yes.100","Notebook","basic.Inconsistent.No.100","Motorcycle","super.Inconsistent.No.100","Exit Sign","consistent.Consistent.No.100","Exit Sign","consistent.Consistent.No.100","Oven Mitts","basic.Inconsistent.Yes.150","Coffee Maker","basic.Inconsistent.Yes.150","Exit Sign","consistent.Consistent.Yes.150","Exit Sign","consistent.Consistent.Yes.150","Tape Dispenser","basic.Inconsistent.No.150","Billboard","super.Inconsistent.No.150","Exit Sign","consistent.Consistent.No.150","Exit Sign","consistent.Consistent.No.150","Sticky Notes","basic.Inconsistent.Yes.50","Axe","super.Inconsistent.Yes.50","Exit Sign","consistent.Consistent.Yes.50","Exit Sign","consistent.Consistent.Yes.50","Plunger","basic.Inconsistent.No.50","Laundry Hamper","basic.Inconsistent.No.50","Exit Sign","consistent.Consistent.No.50"
"39","conference5.jpg","Laptop","Conference Room","Public","Indoors","Napkin","basic.Inconsistent.Yes.100","Historic Plaque","super.Inconsistent.Yes.100","Laptop","consistent.Consistent.Yes.100","Laptop","consistent.Consistent.Yes.100","Bathroom Sign","basic.Inconsistent.No.100","Windmill","super.Inconsistent.No.100","Laptop","consistent.Consistent.No.100","Laptop","consistent.Consistent.No.100","Pencil Case","basic.Inconsistent.Yes.150","Lily Pad","super.Inconsistent.Yes.150","Laptop","consistent.Consistent.Yes.150","Laptop","consistent.Consistent.Yes.150","Razor","basic.Inconsistent.No.150","Lily Pad","super.Inconsistent.No.150","Laptop","consistent.Consistent.No.150","Laptop","consistent.Consistent.No.150","Broom","basic.Inconsistent.Yes.50","Bus Stop Shelter","super.Inconsistent.Yes.50","Laptop","consistent.Consistent.Yes.50","Laptop","consistent.Consistent.Yes.50","Dresser","basic.Inconsistent.No.50","Pitchfork","super.Inconsistent.No.50","Laptop","consistent.Consistent.No.50","Laptop","consistent.Consistent.No.50"
"105","play5.jpg","Soccer Ball","Playground","Human","Outdoors","Fire Hydrant","basic.Inconsistent.Yes.100","Television","super.Inconsistent.Yes.100","Soccer Ball","consistent.Consistent.Yes.100","Soccer Ball","consistent.Consistent.Yes.100","Lifeguard Tower","basic.Inconsistent.No.100","Picture Frame","super.Inconsistent.No.100","Soccer Ball","consistent.Consistent.No.100","Soccer Ball","consistent.Consistent.No.100","Lifeguard Tower","basic.Inconsistent.Yes.150","Laundry Hamper","super.Inconsistent.Yes.150","Soccer Ball","consistent.Consistent.Yes.150","Soccer Ball","consistent.Consistent.Yes.150","Toadstool Mushroom","basic.Inconsistent.No.150","Dresser","super.Inconsistent.No.150","Soccer Ball","consistent.Consistent.No.150","Soccer Ball","consistent.Consistent.No.150","Lifeguard Tower","basic.Inconsistent.Yes.50","Briefcase","super.Inconsistent.Yes.50","Soccer Ball","consistent.Consistent.Yes.50","Soccer Ball","consistent.Consistent.Yes.50","Sculpture","basic.Inconsistent.No.50","Bowl","super.Inconsistent.No.50","Soccer Ball","consistent.Consistent.No.50","Soccer Ball","consistent.Consistent.No.50"
"46","dining3.jpg","Plate","Dining Room","Private","Indoors","Razor","basic.Inconsistent.Yes.100","Trash Bags","super.Inconsistent.Yes.100","Plate","consistent.Consistent.Yes.100","Plate","consistent.Consistent.Yes.100","Pencil Case","basic.Inconsistent.No.100","Telephone Booth","super.Inconsistent.No.100","Plate","consistent.Consistent.No.100","Plate","consistent.Consistent.No.100","Toaster","basic.Inconsistent.Yes.150","Telephone Booth","super.Inconsistent.Yes.150","Plate","consistent.Consistent.Yes.150","Plate","consistent.Consistent.Yes.150","Calculator","basic.Inconsistent.No.150","Speed Limit Sign","super.Inconsistent.No.150","Plate","consistent.Consistent.No.150","Plate","consistent.Consistent.No.150","Dresser","basic.Inconsistent.Yes.50","Bird Bath","super.Inconsistent.Yes.50","Plate","consistent.Consistent.Yes.50","Plate","consistent.Consistent.Yes.50","Pencil Case","basic.Inconsistent.No.50","Historic Plaque","super.Inconsistent.No.50","Plate","consistent.Consistent.No.50","Plate","consistent.Consistent.No.50"
"77","living13.jpg","Vacuum Cleaner","Living Room","Private","Indoors","Stand Mixer","basic.Inconsistent.Yes.100","Picnic Table","super.Inconsistent.Yes.100","Vacuum Cleaner","consistent.Consistent.Yes.100","Vacuum Cleaner","consistent.Consistent.Yes.100","Stop Sign","super.Inconsistent.No.100","Beach Towel","super.Inconsistent.No.100","Vacuum Cleaner","consistent.Consistent.No.100","Vacuum Cleaner","consistent.Consistent.No.100","Stand Mixer","basic.Inconsistent.Yes.150","Bird Bath","super.Inconsistent.Yes.150","Vacuum Cleaner","consistent.Consistent.Yes.150","Vacuum Cleaner","consistent.Consistent.Yes.150","Oven Mitts","basic.Inconsistent.No.150","Kayak","super.Inconsistent.No.150","Vacuum Cleaner","consistent.Consistent.No.150","Vacuum Cleaner","consistent.Consistent.No.150","Napkin","basic.Inconsistent.Yes.50","Kayak","super.Inconsistent.Yes.50","Vacuum Cleaner","consistent.Consistent.Yes.50","Vacuum Cleaner","consistent.Consistent.Yes.50","Oven Mitts","basic.Inconsistent.No.50","Sandbox","super.Inconsistent.No.50","Vacuum Cleaner","consistent.Consistent.No.50","Vacuum Cleaner","consistent.Consistent.No.50"
"7","bedroom11.jpg","Nightstand","Bedroom","Private","Indoors","Paper Shredder","basic.Inconsistent.Yes.100","Crosswalk","super.Inconsistent.Yes.100","Nightstand","consistent.Consistent.Yes.100","Nightstand","consistent.Consistent.Yes.100","Napkin","basic.Inconsistent.No.100","Sandbox","super.Inconsistent.No.100","Nightstand","consistent.Consistent.No.100","Nightstand","consistent.Consistent.No.100","Spoon","basic.Inconsistent.Yes.150","Pitchfork","super.Inconsistent.Yes.150","Nightstand","consistent.Consistent.Yes.150","Nightstand","consistent.Consistent.Yes.150","Pencil Case","basic.Inconsistent.No.150","Trash Bags","super.Inconsistent.No.150","Nightstand","consistent.Consistent.No.150","Nightstand","consistent.Consistent.No.150","Plunger","basic.Inconsistent.Yes.50","Beach Towel","super.Inconsistent.Yes.50","Nightstand","consistent.Consistent.Yes.50","Nightstand","consistent.Consistent.Yes.50","Plunger","basic.Inconsistent.No.50","Speed Limit Sign","super.Inconsistent.No.50","Nightstand","consistent.Consistent.No.50","Nightstand","consistent.Consistent.No.50"
"31","coast3.jpg","Lighthouse","Coast","Natural","Outdoors","Plunger","super.Inconsistent.Yes.100","Lighthouse","consistent.Consistent.Yes.100","Lighthouse","consistent.Consistent.Yes.100","Radio Tower","basic.Inconsistent.No.100","Soap Bar","super.Inconsistent.No.100","Lighthouse","consistent.Consistent.No.100","Lighthouse","consistent.Consistent.No.100","Utility Pole","basic.Inconsistent.Yes.150","Napkin","super.Inconsistent.Yes.150","Lighthouse","consistent.Consistent.Yes.150","Lighthouse","consistent.Consistent.Yes.150","Axe","basic.Inconsistent.No.150","Napkin","super.Inconsistent.No.150","Lighthouse","consistent.Consistent.No.150","Lighthouse","consistent.Consistent.No.150","Stop Sign","basic.Inconsistent.Yes.50","Drinking Fountain","super.Inconsistent.Yes.50","Lighthouse","consistent.Consistent.Yes.50","Lighthouse","consistent.Consistent.Yes.50","Fishing Rod","basic.Inconsistent.No.50","Calculator","super.Inconsistent.No.50","Lighthouse","consistent.Consistent.No.50","Lighthouse","consistent.Consistent.No.50","Farmhouse","basic.Inconsistent.Yes.100"
"20","citycenter11.jpg","Horse Carriage","City Center","Human","Outdoors","Dresser","super.Inconsistent.Yes.100","Horse Carriage","consistent.Consistent.Yes.100","Horse Carriage","consistent.Consistent.Yes.100","Parking Meter","basic.Inconsistent.No.100","Printer","super.Inconsistent.No.100","Horse Carriage","consistent.Consistent.No.100","Horse Carriage","consistent.Consistent.No.100","Axe","basic.Inconsistent.Yes.150","TV Remote","super.Inconsistent.Yes.150","Horse Carriage","consistent.Consistent.Yes.150","Horse Carriage","consistent.Consistent.Yes.150","Fire Hydrant","basic.Inconsistent.No.150","Projector","super.Inconsistent.No.150","Horse Carriage","consistent.Consistent.No.150","Horse Carriage","consistent.Consistent.No.150","Fire Hydrant","basic.Inconsistent.Yes.50","Projector","super.Inconsistent.Yes.50","Horse Carriage","consistent.Consistent.Yes.50","Horse Carriage","consistent.Consistent.Yes.50","Parking Meter","basic.Inconsistent.No.50","Broom","super.Inconsistent.No.50","Horse Carriage","consistent.Consistent.No.50","Horse Carriage","consistent.Consistent.No.50","Bench","basic.Inconsistent.Yes.100"
"87","Nature36.jpg","Lily Pad","Forest","Natural","Outdoors","Printer","super.Inconsistent.Yes.100","Lily Pad","consistent.Consistent.Yes.100","Lily Pad","consistent.Consistent.Yes.100","Fishing Boat","basic.Inconsistent.No.100","Dresser","super.Inconsistent.No.100","Lily Pad","consistent.Consistent.No.100","Lily Pad","consistent.Consistent.No.100","Swing Set","basic.Inconsistent.Yes.150","Oven Mitts","super.Inconsistent.Yes.150","Lily Pad","consistent.Consistent.Yes.150","Lily Pad","consistent.Consistent.Yes.150","Fishing Boat","basic.Inconsistent.No.150","Printer","super.Inconsistent.No.150","Lily Pad","consistent.Consistent.No.150","Lily Pad","consistent.Consistent.No.150","Parking Meter","basic.Inconsistent.Yes.50","Exit Sign","super.Inconsistent.Yes.50","Lily Pad","consistent.Consistent.Yes.50","Lily Pad","consistent.Consistent.Yes.50","Bicycle","basic.Inconsistent.No.50","Toaster","super.Inconsistent.No.50","Lily Pad","consistent.Consistent.No.50","Lily Pad","consistent.Consistent.No.50","Swing Set","basic.Inconsistent.Yes.100"
"95","opencountry1.jpg","Fence","Open Country","Natural","Outdoors","Newspaper Box","basic.Inconsistent.Yes.100","Fence","consistent.Consistent.Yes.100","Fence","consistent.Consistent.Yes.100","Toadstool Mushroom","basic.Inconsistent.No.100","Oven Mitts","super.Inconsistent.No.100","Fence","consistent.Consistent.No.100","Fence","consistent.Consistent.No.100","Soccer Ball","basic.Inconsistent.Yes.150","Plunger","super.Inconsistent.Yes.150","Fence","consistent.Consistent.Yes.150","Fence","consistent.Consistent.Yes.150","Bicycle","basic.Inconsistent.No.150","Exit Sign","super.Inconsistent.No.150","Fence","consistent.Consistent.No.150","Fence","consistent.Consistent.No.150","Buoy","basic.Inconsistent.Yes.50","Toaster","super.Inconsistent.Yes.50","Fence","consistent.Consistent.Yes.50","Fence","consistent.Consistent.Yes.50","Toadstool Mushroom","basic.Inconsistent.No.50","Candle","super.Inconsistent.No.50","Fence","consistent.Consistent.No.50","Fence","consistent.Consistent.No.50","Stop Sign","basic.Inconsistent.Yes.100"
"97","opencountry3.jpg","Windmill","Open Country","Natural","Outdoors","Broom","super.Inconsistent.Yes.100","Windmill","consistent.Consistent.Yes.100","Windmill","consistent.Consistent.Yes.100","Lawn Mower","basic.Inconsistent.No.100","Razor","super.Inconsistent.No.100","Windmill","consistent.Consistent.No.100","Windmill","consistent.Consistent.No.100","Wheelbarrow","basic.Inconsistent.Yes.150","Bus Stop Shelter","basic.Inconsistent.Yes.150","Windmill","consistent.Consistent.Yes.150","Windmill","consistent.Consistent.Yes.150","Motorcycle","basic.Inconsistent.No.150","TV Remote","super.Inconsistent.No.150","Windmill","consistent.Consistent.No.150","Windmill","consistent.Consistent.No.150","Wildflower","basic.Inconsistent.Yes.50","Rolling Pin","super.Inconsistent.Yes.50","Windmill","consistent.Consistent.Yes.50","Windmill","consistent.Consistent.Yes.50","Buoy","basic.Inconsistent.No.50","Apron","super.Inconsistent.No.50","Windmill","consistent.Consistent.No.50","Windmill","consistent.Consistent.No.50","Rock","basic.Inconsistent.Yes.100"
