"","SceneImage","Object","Basic","Superordinate","Supersuperordinate","a","A","b","B","c","C","d","D","e","E","f","F","g","G","h","H","i","I","j","J","k","K","l","L","m","M","n","N","o","O","p","P","q","Q","r","R","s","S","t","T","u","U","v","V","w","W","x","X"
"40","conference7.jpg","Projector","Conference Room","Public","Indoors","Projector","consistent.Consistent.Yes.50","Plunger","basic.Inconsistent.No.50","Horse Carriage","super.Inconsistent.No.50","Projector","consistent.Consistent.No.50","Projector","consistent.Consistent.No.50","Baking Tray","basic.Inconsistent.Yes.100","Lawn Mower","super.Inconsistent.Yes.100","Projector","consistent.Consistent.Yes.100","Projector","consistent.Consistent.Yes.100","Pan","basic.Inconsistent.No.100","Nightstand","basic.Inconsistent.No.100","Projector","consistent.Consistent.No.100","Projector","consistent.Consistent.No.100","Sticky Notes","basic.Inconsistent.Yes.150","Fence","super.Inconsistent.Yes.150","Projector","consistent.Consistent.Yes.150","Projector","consistent.Consistent.Yes.150","Bowl","basic.Inconsistent.No.150","Billboard","super.Inconsistent.No.150","Projector","consistent.Consistent.No.150","Projector","consistent.Consistent.No.150","Rolling Pin","basic.Inconsistent.Yes.50","Pitchfork","super.Inconsistent.Yes.50","Projector","consistent.Consistent.Yes.50"
"114","Urban10.jpg","Bicycle","Suburban","Human","Outdoors","Bicycle","consistent.Consistent.Yes.50","Bus Stop Shelter","basic.Inconsistent.No.50","Television","super.Inconsistent.No.50","Bicycle","consistent.Consistent.No.50","Bicycle","consistent.Consistent.No.50","Hay Bale","basic.Inconsistent.Yes.100","Pencil Holder","super.Inconsistent.Yes.100","Bicycle","consistent.Consistent.Yes.100","Bicycle","consistent.Consistent.Yes.100","Speed Limit Sign","basic.Inconsistent.No.100","Laptop","super.Inconsistent.No.100","Bicycle","consistent.Consistent.No.100","Bicycle","consistent.Consistent.No.100","Souvenir Stand","basic.Inconsistent.Yes.150","Laundry Hamper","super.Inconsistent.Yes.150","Bicycle","consistent.Consistent.Yes.150","Bicycle","consistent.Consistent.Yes.150","Speed Limit Sign","basic.Inconsistent.No.150","Coffee Maker","super.Inconsistent.No.150","Bicycle","consistent.Consistent.No.150","Bicycle","consistent.Consistent.No.150","Hay Bale","basic.Inconsistent.Yes.50","Rocking Chair","super.Inconsistent.Yes.50","Bicycle","consistent.Consistent.Yes.50"
"82","MDS201.jpg","Rock","Forest","Natural","Outdoors","Rock","consistent.Consistent.Yes.50","Speed Limit Sign","basic.Inconsistent.No.50","Briefcase","super.Inconsistent.No.50","Rock","consistent.Consistent.No.50","Rock","consistent.Consistent.No.50","Lighthouse","basic.Inconsistent.Yes.100","Tape Dispenser","super.Inconsistent.Yes.100","Rock","consistent.Consistent.Yes.100","Rock","consistent.Consistent.Yes.100","Newspaper Box","basic.Inconsistent.No.100","Toilet Paper","super.Inconsistent.No.100","Rock","consistent.Consistent.No.100","Rock","consistent.Consistent.No.100","Pitchfork","basic.Inconsistent.Yes.150","Nightstand","super.Inconsistent.Yes.150","Rock","consistent.Consistent.Yes.150","Rock","consistent.Consistent.Yes.150","Hay Bale","basic.Inconsistent.No.150","Knife","super.Inconsistent.No.150","Rock","consistent.Consistent.No.150","Rock","consistent.Consistent.No.150","Feeding Trough","basic.Inconsistent.Yes.50","Vacuum Cleaner","super.Inconsistent.Yes.50","Rock","consistent.Consistent.Yes.50"
"109","suburb3.jpg","Fire Hydrant","Suburban","Human","Outdoors","Fire Hydrant","consistent.Consistent.Yes.50","Taxi","basic.Inconsistent.No.50","Nightstand","super.Inconsistent.No.50","Fire Hydrant","consistent.Consistent.No.50","Fire Hydrant","consistent.Consistent.No.50","Pitchfork","basic.Inconsistent.Yes.100","Baking Tray","super.Inconsistent.Yes.100","Fire Hydrant","consistent.Consistent.Yes.100","Fire Hydrant","consistent.Consistent.Yes.100","Lighthouse","basic.Inconsistent.No.100","Backpack","super.Inconsistent.No.100","Fire Hydrant","consistent.Consistent.No.100","Fire Hydrant","consistent.Consistent.No.100","Subway Station Sign","basic.Inconsistent.Yes.150","Sticky Notes","super.Inconsistent.Yes.150","Fire Hydrant","consistent.Consistent.Yes.150","Fire Hydrant","consistent.Consistent.Yes.150","Picnic Table","basic.Inconsistent.No.150","Projector Screen","super.Inconsistent.No.150","Fire Hydrant","consistent.Consistent.No.150","Fire Hydrant","consistent.Consistent.No.150","Souvenir Stand","basic.Inconsistent.Yes.50","Pencil Holder","super.Inconsistent.Yes.50","Fire Hydrant","consistent.Consistent.Yes.50"
"83","modern_livingroom.png","Floor Lamp","Living Room","Private","Indoors","Floor Lamp","consistent.Consistent.Yes.50","Rolling Pin","basic.Inconsistent.No.50","Bench","super.Inconsistent.No.50","Floor Lamp","consistent.Consistent.No.50","Floor Lamp","consistent.Consistent.No.50","Oven Mitts","basic.Inconsistent.Yes.100","Birdhouse","super.Inconsistent.Yes.100","Floor Lamp","consistent.Consistent.Yes.100","Floor Lamp","consistent.Consistent.Yes.100","Toothpaste","basic.Inconsistent.No.100","Pitchfork","super.Inconsistent.No.100","Floor Lamp","consistent.Consistent.No.100","Floor Lamp","consistent.Consistent.No.100","Fork","basic.Inconsistent.Yes.150","Soccer Ball","super.Inconsistent.Yes.150","Floor Lamp","consistent.Consistent.Yes.150","Floor Lamp","consistent.Consistent.Yes.150","Tape Dispenser","basic.Inconsistent.No.150","Bench","super.Inconsistent.No.150","Floor Lamp","consistent.Consistent.No.150","Floor Lamp","consistent.Consistent.No.150","Fork","basic.Inconsistent.Yes.50","Telephone Booth","super.Inconsistent.Yes.50","Floor Lamp","consistent.Consistent.Yes.50"
"86","Nature22.jpg","Wildflower","Forest","Natural","Outdoors","Stop Sign","basic.Inconsistent.No.50","Bowl","super.Inconsistent.No.50","Wildflower","consistent.Consistent.No.50","Wildflower","consistent.Consistent.No.50","Picnic Table","basic.Inconsistent.Yes.100","Stapler","super.Inconsistent.Yes.100","Wildflower","consistent.Consistent.Yes.100","Wildflower","consistent.Consistent.Yes.100","Crosswalk","basic.Inconsistent.No.100","Fork","super.Inconsistent.No.100","Wildflower","consistent.Consistent.No.100","Wildflower","consistent.Consistent.No.100","Bus Stop Shelter","basic.Inconsistent.Yes.150","Projector Screen","super.Inconsistent.Yes.150","Wildflower","consistent.Consistent.Yes.150","Wildflower","consistent.Consistent.Yes.150","Traffic Light","basic.Inconsistent.No.150","Oven Mitts","super.Inconsistent.No.150","Wildflower","consistent.Consistent.No.150","Wildflower","consistent.Consistent.No.150","Taxi","basic.Inconsistent.Yes.50","Stand Mixer","super.Inconsistent.Yes.50","Wildflower","consistent.Consistent.Yes.50","Wildflower","consistent.Consistent.Yes.50"
"112","tan_kitchen.png","Knife","Kitchen","Private","Indoors","Calculator","basic.Inconsistent.No.50","Scarecrow","super.Inconsistent.No.50","Knife","consistent.Consistent.No.50","Knife","consistent.Consistent.No.50","Teddy Bear","basic.Inconsistent.Yes.100","Crosswalk","super.Inconsistent.Yes.100","Knife","consistent.Consistent.Yes.100","Knife","consistent.Consistent.Yes.100","Projector","basic.Inconsistent.No.100","Feeding Trough","super.Inconsistent.No.100","Knife","consistent.Consistent.No.100","Knife","consistent.Consistent.No.100","Bathroom Sign","basic.Inconsistent.Yes.150","Beach Towel","super.Inconsistent.Yes.150","Knife","consistent.Consistent.Yes.150","Knife","consistent.Consistent.Yes.150","Candle","basic.Inconsistent.No.150","Lighthouse","super.Inconsistent.No.150","Knife","consistent.Consistent.No.150","Knife","consistent.Consistent.No.150","Soap Bar","basic.Inconsistent.Yes.50","Subway Station Sign","super.Inconsistent.Yes.50","Knife","consistent.Consistent.Yes.50","Knife","consistent.Consistent.Yes.50"
"54","farm2.jpg","Wheelbarrow","Farm","Natural","Outdoors","Utility Pole","basic.Inconsistent.No.50","Dresser","super.Inconsistent.No.50","Wheelbarrow","consistent.Consistent.No.50","Wheelbarrow","consistent.Consistent.No.50","Speed Limit Sign","basic.Inconsistent.Yes.100","TV Remote","super.Inconsistent.Yes.100","Wheelbarrow","consistent.Consistent.Yes.100","Wheelbarrow","consistent.Consistent.Yes.100","Trash Bags","basic.Inconsistent.No.100","Candle","super.Inconsistent.No.100","Wheelbarrow","consistent.Consistent.No.100","Wheelbarrow","consistent.Consistent.No.100","Sandbox","basic.Inconsistent.Yes.150","Notebook","super.Inconsistent.Yes.150","Wheelbarrow","consistent.Consistent.Yes.150","Wheelbarrow","consistent.Consistent.Yes.150","Fishing Rod","basic.Inconsistent.No.150","Baking Tray","super.Inconsistent.No.150","Wheelbarrow","consistent.Consistent.No.150","Wheelbarrow","consistent.Consistent.No.150","Picnic Table","basic.Inconsistent.Yes.50","Toilet Paper","super.Inconsistent.Yes.50","Wheelbarrow","consistent.Consistent.Yes.50","Wheelbarrow","consistent.Consistent.Yes.50"
"102","play12.jpg","Seesaw","Playground","Human","Outdoors","Bird Bath","basic.Inconsistent.No.50","Baking Tray","super.Inconsistent.No.50","Seesaw","consistent.Consistent.No.50","Seesaw","consistent.Consistent.No.50","Toadstool Mushroom","basic.Inconsistent.Yes.100","Toothpaste","super.Inconsistent.Yes.100","Seesaw","consistent.Consistent.Yes.100","Seesaw","consistent.Consistent.Yes.100","Taxi","basic.Inconsistent.No.100","Stapler","super.Inconsistent.No.100","Seesaw","consistent.Consistent.No.100","Seesaw","consistent.Consistent.No.100","Crosswalk Signal","basic.Inconsistent.Yes.150","Spoon","super.Inconsistent.Yes.150","Seesaw","consistent.Consistent.Yes.150","Seesaw","consistent.Consistent.Yes.150","Taxi","basic.Inconsistent.No.150","Teddy Bear","super.Inconsistent.No.150","Seesaw","consistent.Consistent.No.150","Seesaw","consistent.Consistent.No.150","Flag Pole","basic.Inconsistent.Yes.50","TV Remote","super.Inconsistent.Yes.50","Seesaw","consistent.Consistent.Yes.50","Seesaw","consistent.Consistent.Yes.50"
"79","living17.jpg","Armchair Recliner","Living Room","Private","Indoors","Toaster","basic.Inconsistent.No.50","Flag Pole","super.Inconsistent.No.50","Armchair Recliner","consistent.Consistent.No.50","Armchair Recliner","consistent.Consistent.No.50","Stand Mixer","basic.Inconsistent.Yes.100","Newspaper Box","super.Inconsistent.Yes.100","Armchair Recliner","consistent.Consistent.Yes.100","Armchair Recliner","consistent.Consistent.Yes.100","Printer","basic.Inconsistent.No.100","Traffic Light","super.Inconsistent.No.100","Armchair Recliner","consistent.Consistent.No.100","Armchair Recliner","consistent.Consistent.No.100","Stand Mixer","basic.Inconsistent.Yes.150","Feeding Trough","super.Inconsistent.Yes.150","Armchair Recliner","consistent.Consistent.Yes.150","Armchair Recliner","consistent.Consistent.Yes.150","Crayons","basic.Inconsistent.No.150","Log Cabin","super.Inconsistent.No.150","Armchair Recliner","consistent.Consistent.No.150","Armchair Recliner","consistent.Consistent.No.150","Textbook","basic.Inconsistent.Yes.50","Scarecrow","super.Inconsistent.Yes.50","Armchair Recliner","consistent.Consistent.Yes.50","Armchair Recliner","consistent.Consistent.Yes.50"
